id,region,year,expression2,expression2_lag,autlost,reggovdm,reg_autscale,durable,durable2,democracy,polity,transdum,majdem_trans,regime_chge,polity_chge,vote,v_vote,nv_vote,rebelx,protestx,prot_lag,reb_lag,natreprx,lwreggov,ideol_eq,lwcengov,literacy,sinest,superior,agr,relpop,cohesion,lang_dum,lang,matlang,historic,opmob4x,milmob,milmob2,subgrvac,subgrvfe,subgrvin,subgrvif,genrebel,genprot,genvote,election,reg_elec,gen_elec,gpro5,isnation,loggdp,gdp_pcxx,polresx,klwd_rte,killedwoundedorarrested,killedwounded,cap,paro,language,ireglang,castile,regratekillwoundarr_lag,killedwoundedorarrestedratelag,localexpressionlag,subgrviflag,isnationlag,centralinvest1000lag
1,Andalusia,1977,2,None,0,0,0,0,0,4,5,1,1,1,4,5.420000076293945,0,5.420000076293945,0,5,None,None,0.22631579637527466,0,0,0,83.1300048828125,0.6816999912261963,0.009233100339770317,16.100000381469727,17.443330764770508,2,0,1,0,0,5.420000076293945,0,0,32,5,1.3333330154418945,6.3333330154418945,113,190,9.488533973693848,1,0,1,5,6.333333492279053,4.278054237365723,72.0999984741211,0.20000000298023224,0.20000000298023224,1,1,0.011660000309348106,11.069999694824219,None,0,0,None,None,None,None,None,None
2,Andalusia,1978,1,2,0,0,0,0,0,6,9,1,1,2,4,5.420000076293945,0,5.420000076293945,0,0,5,0,0.28082191944122314,0,0,0,83.53199768066406,0.674019992351532,0.010062900371849537,15.199999809265137,17.459171295166016,2,0,1,0,0,5.420000076293945,0,0,30,6,1.6666669845581055,7.6666669845581055,140,146,10.111328125,0,0,0,5,6.333333492279053,4.275971412658691,71.94999694824219,0,0,0,0,0.01157000008970499,12.520000457763672,None,0,0,0.1459459513425827,0.20000000298023224,0.3333333432674408,6.3333330154418945,6.333333492279053,102.56267547607422
3,Andalusia,1979,2,1,0,0,0,0,1,5.5,9,1,0,-0.5,0,5.420000076293945,0,5.420000076293945,0,12,0,0,0.4166666567325592,0,0,0,83.93399810791016,0.6663399934768677,0.01089280005544424,14.300000190734863,17.475000381469727,2,0,1,0,0,5.420000076293945,0,0,28,7,2,9,114,156,10.734121322631836,1,0,1,5,6.333333492279053,4.273884296417236,71.80000305175781,0,0,0,0,0.011730000376701355,13.850000381469727,None,0,0,0.1780821979045868,0,0.3333333432674408,7.6666669845581055,6.333333492279053,162.68991088867188
4,Andalusia,1980,2,2,0,0,0,0,2,6,9,1,0,0.5,0,5.420000076293945,0,5.420000076293945,1,22,12,0,0.04878048598766327,0,0,0,84.33599853515625,0.6586599946022034,0.01172260008752346,13.399999618530273,17.490829467773438,2,0,1,0,0,5.420000076293945,0,0,38,10,3,13,152,80,12.888386726379395,0,0,0,5,6.333333492279053,4.271793365478516,71.6500015258789,0,0,0,0,0.011880000121891499,17.40999984741211,None,0,0,0.3333333432674408,0,0.3333333432674408,9,6.333333492279053,115.90584564208984
5,Andalusia,1981,2,2,0,0,0,0,3,5.5,9,1,0,-0.5,0,5.420000076293945,0,5.420000076293945,0,3,22,1,0.8815789222717285,0,0,0,84.73799896240234,0.6509799957275391,0.012552499771118164,12.5,17.506669998168945,2,0,1,0,0,5.420000076293945,0,0,42.20000076293945,9.5,3.0999999046325684,12.600000381469727,135,76,13.71838665008545,0,0,0,5,6.333333492279053,4.269697666168213,71.5,0,0,0,0,0.012000000104308128,19.799999237060547,None,0,0,0,0,0.3333333432674408,13,6.333333492279053,129.57785034179688
6,Andalusia,1982,1,2,0,0,1,0,4,5.5,10,1,0,0,1,5.420000076293945,0,5.420000076293945,0,0,3,0,0.29230770468711853,1,0,0,85.13999938964844,0.6432999968528748,0.013382299803197384,12.119999885559082,17.52250099182129,2,0,1,0,0,5.420000076293945,0,0,46.400001525878906,9,3.200000047683716,12.199999809265137,157,64,14.375150680541992,2,1,1,5,6.333333492279053,4.267597198486328,71.3499984741211,0,0,0,0,0.011839999817311764,20.540000915527344,None,0,0,0.7808219194412231,0,0.3333333432674408,12.600000381469727,6.333333492279053,163.2952880859375
7,Andalusia,1983,2,1,0,0,1,1,5,6.5,10,0,0,1,0,5.752500057220459,0,5.752500057220459,0,2,0,0,0.4935064911842346,1,1,1,85.68800354003906,0.6319800019264221,0.01449429988861084,11.739999771118164,17.538330078125,2,0,1,0,0,5.752500057220459,0,0,50.599998474121094,8.5,3.299999952316284,11.800000190734863,103,75,15.051469802856445,0,0,0,5,6.333333492279053,4.265492916107178,71.19999694824219,0,0,0,0,0.011529999785125256,22.40999984741211,None,0,0,0.1538461595773697,0,0.3333333432674408,12.199999809265137,6.333333492279053,239.1225128173828
8,Andalusia,1984,1,2,0,0,1,2,6,6.5,10,0,0,0,0,6.085000038146973,0,6.085000038146973,0,0,2,0,0.2857142984867096,1,1,1,86.23600006103516,0.6206600069999695,0.01560639962553978,11.359999656677246,17.554170608520508,2,0,1,0,0,6.085000038146973,0,0,54.79999923706055,8,3.4000000953674316,11.399999618530273,74,112,15.945734977722168,0,0,0,5,6.333333492279053,4.263383865356445,71.05000305175781,0,0,0,0,0.01107999961823225,28.90999984741211,None,0,0,0.4266666769981384,0,0.3333333432674408,11.800000190734863,6.333333492279053,295.9605407714844
9,Andalusia,1985,1,1,0,0,1,3,7,6.5,10,0,0,0,0,6.417500019073486,0,6.417500019073486,0,0,0,0,2.28125,1,1,1,86.78399658203125,0.6093400120735168,0.01671840064227581,10.979999542236328,17.56999969482422,2,0,1,0,0,6.417500019073486,0,0,59,7.5,3.5,11,86,64,16.782352447509766,0,0,0,5,6.333333492279053,4.261270523071289,70.9000015258789,0,0,0,0,0.010859999805688858,29.68000030517578,None,0,0,0.1607142835855484,0,0.3333333432674408,11.399999618530273,6.333333492279053,244.34249877929688
10,Andalusia,1986,1,1,0,0,1,4,8,6.5,10,0,0,0,0,6.75,0,6.75,0,1,0,0,1.5360825061798096,1,1,1,87.33200073242188,0.5980200171470642,0.01783050037920475,10.600000381469727,17.616670608520508,2,0,1,0,0,6.75,0,0,63.20000076293945,7,3.5999999046325684,10.600000381469727,108,97,17.42308807373047,2,1,1,5,6.333333492279053,4.260564804077148,70.8499984741211,0,0,0,0,0.011339999735355377,30.09000015258789,None,0,0,2.171875,0,0.3333333432674408,11,6.333333492279053,206.0996551513672
